rank,state_rank,district,state,state_code,headquarters,population,area_sq_km,density_per_sq_km,population_year,source,source_url
1,1,"North 24 Parganas","West Bengal","WB","Barasat",10082852,4094,2463,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
2,1,"Bangalore Urban","Karnataka","KA","Bangalore",9588910,2190,4378,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
3,1,"Pune","Maharashtra","MH","Pune",9426959,15643,603,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
4,2,"Mumbai Suburban","Maharashtra","MH","Bandra (East)",9332481,446,21000,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
5,2,"South 24 Parganas","West Bengal","WB","Alipore",8161961,9960,819,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
6,3,"Thane","Maharashtra","MH","Thane",8070032,4214,1915,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
7,1,"Ahmedabad","Gujarat","GJ","Ahmedabad",7208200,7170,890,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
8,1,"Chennai","Tamil Nadu","TN","Chennai",7139882,426,17000,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
9,3,"Murshidabad","West Bengal","WB","Baharampur",7102430,5324,1334,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
10,1,"Jaipur","Rajasthan","RJ","Jaipur",6626178,11143,595,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
11,4,"Nashik","Maharashtra","MH","Nashik",6109052,15539,393,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
12,2,"Surat","Gujarat","GJ","Surat",6081322,4418,953,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
13,1,"Prayagraj","Uttar Pradesh","UP","Prayagraj",5959798,5481,1087,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
14,1,"Patna","Bihar","BR","Patna",5772804,3202,1803,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
15,4,"Hooghly","West Bengal","WB","Chinsurah",5520389,3149,1753,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
16,5,"Nadia","West Bengal","WB","Krishnanagar",5168488,3927,1316,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
17,6,"Purba Medinipur","West Bengal","WB","Tamluk",5095875,4736,1076,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
18,2,"East Champaran","Bihar","BR","Motihari",5082868,3969,1281,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
19,7,"Howrah","West Bengal","WB","Howrah",4841638,1467,3300,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
20,8,"Purba Bardhaman","West Bengal","WB","Bardhaman",4835532,5433,890,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
21,3,"Muzaffarpur","Bihar","BR","Muzaffarpur",4778610,3173,1506,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
22,2,"Belagavi","Karnataka","KA","Belgaum",4778439,13415,356,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
23,9,"Paschim Medinipur","West Bengal","WB","Midnapore",4776909,6308,757,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
24,2,"Moradabad","Uttar Pradesh","UP","Moradabad",4773138,3718,1284,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
25,3,"Ghaziabad","Uttar Pradesh","UP","Ghaziabad",4661452,1175,3967,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
26,5,"Nagpur","Maharashtra","MH","Nagpur",4653171,9892,470,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
27,4,"Azamgarh","Uttar Pradesh","UP","Azamgarh",4616509,4053,1139,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
28,5,"Lucknow","Uttar Pradesh","UP","Lucknow",4588455,2528,1815,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
29,6,"Kanpur Nagar","Uttar Pradesh","UP","Kanpur",4572951,3156,1415,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
30,6,"Ahmednagar","Maharashtra","MH","Ahmednagar",4543083,17048,266,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
31,10,"Kolkata","West Bengal","WB","Kolkata",4486679,206,24252,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
32,7,"Jaunpur","Uttar Pradesh","UP","Jaunpur",4476072,4038,1108,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
33,4,"Madhubani","Bihar","BR","Madhubani",4476044,3501,1279,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
34,8,"Sitapur","Uttar Pradesh","UP","Sitapur",4474446,5743,779,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
35,9,"Bareilly","Uttar Pradesh","UP","Bareilly",4465344,4120,1084,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
36,10,"Gorakhpur","Uttar Pradesh","UP","Gorakhpur",4436275,3325,1336,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
37,11,"Agra","Uttar Pradesh","UP","Agra",4380793,4027,1084,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
38,5,"Gaya","Bihar","BR","Gaya",4379383,4978,880,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
39,7,"Solapur","Maharashtra","MH","Solapur",4315527,14895,290,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
40,6,"Samastipur","Bihar","BR","Samastipur",4254782,2905,1465,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
41,8,"Jalgaon","Maharashtra","MH","Jalgaon",4229917,11765,360,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
42,12,"Muzaffarnagar","Uttar Pradesh","UP","Muzaffarnagar",4138605,4008,1033,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
43,1,"Malappuram","Kerala","KL","Malappuram",4110956,3554,1058,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
44,13,"Hardoi","Uttar Pradesh","UP","Hardoi",4091380,5986,683,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
45,14,"Lakhimpur Kheri","Uttar Pradesh","UP","Lakhimpur",4013634,7674,523,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
46,11,"Maldah","West Bengal","WB","English Bazar",3997970,3733,1071,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
47,1,"Hyderabad","Telangana","TG","Hyderabad",3943323,217,18172,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
48,7,"Saran","Bihar","BR","Chhapra",3943098,2641,1493,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
49,8,"West Champaran","Bihar","BR","Bettiah",3935042,5229,753,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
50,9,"Darbhanga","Bihar","BR","Darbhanga",3921971,2278,1721,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
51,9,"Kolhapur","Maharashtra","MH","Kolhapur",3874015,7685,504,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
52,12,"Jalpaiguri","West Bengal","WB","Jalpaiguri",3869675,6227,621,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
53,15,"Sultanpur","Uttar Pradesh","UP","Sultanpur",3790922,4436,855,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
54,2,"Tiruvallur","Tamil Nadu","TN","Tiruvallur",3725697,3424,1049,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
55,16,"Budaun","Uttar Pradesh","UP","Budaun",3712738,5168,718,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
56,10,"Aurangabad","Maharashtra","MH","Aurangabad",3695928,10107,365,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
57,2,"Jodhpur","Rajasthan","RJ","Jodhpur",3685681,22850,161,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
58,17,"Bijnor","Uttar Pradesh","UP","Bijnor",3683896,4561,808,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
59,18,"Varanasi","Uttar Pradesh","UP","Varanasi",3682194,1535,2399,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
60,19,"Aligarh","Uttar Pradesh","UP","Aligarh",3673849,3747,1007,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
61,3,"Alwar","Rajasthan","RJ","Alwar",3671999,8380,438,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
62,1,"North West Delhi","Delhi","DL","Kanjhawala",3656539,130,8254,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
63,3,"Vadodara","Gujarat","GJ","Vadodara",3639775,4312,467,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
64,20,"Ghazipur","Uttar Pradesh","UP","Ghazipur",3622727,3377,1072,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
65,13,"Bankura","West Bengal","WB","Bankura",3596292,6882,523,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
66,21,"Kushinagar","Uttar Pradesh","UP","Padrauna",3560830,2909,1226,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
67,1,"Ganjam","Odisha","OD","Chhatrapur",3529031,8206,430,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
68,14,"Birbhum","West Bengal","WB","Suri",3502387,4545,771,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
69,22,"Bulandshahr","Uttar Pradesh","UP","Bulandshahr",3498507,3719,788,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
70,10,"Vaishali","Bihar","BR","Hajipur",3495021,2036,1717,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
71,1,"Ludhiana","Punjab","PB","Ludhiana",3487882,3744,975,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
72,3,"Salem","Tamil Nadu","TN","Salem",3480008,5245,663,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
73,4,"Coimbatore","Tamil Nadu","TN","Coimbatore",3472578,4723,748,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
74,23,"Saharanpur","Uttar Pradesh","UP","Saharanpur",3464228,3689,939,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
75,24,"Meerut","Uttar Pradesh","UP","Meerut",3447405,2522,1342,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
76,25,"Gonda","Uttar Pradesh","UP","Gonda",3431386,4425,857,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
77,11,"Sitamarhi","Bihar","BR","Sitamarhi",3419622,2199,1491,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
78,26,"Raebareli","Uttar Pradesh","UP","Raebareli",3404004,4609,739,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
79,11,"Nanded","Maharashtra","MH","Nanded",3356566,10528,319,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
80,12,"Siwan","Bihar","BR","Siwan",3318176,2219,1495,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
81,4,"Nagaur","Rajasthan","RJ","Nagaur",3309234,17718,187,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
82,2,"Thiruvananthapuram","Kerala","KL","Thiruvananthapuram",3307284,2189,1509,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
83,3,"Ernakulam","Kerala","KL","Kakkanad",3279860,3063,1069,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
84,13,"Purnia","Bihar","BR","Purnia",3273127,3228,1014,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
85,1,"Indore","Madhya Pradesh","MP","Indore",3272335,3898,839,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
86,27,"Barabanki","Uttar Pradesh","UP","Barabanki",3257983,3825,739,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
87,28,"Ballia","Uttar Pradesh","UP","Ballia",3223642,2981,1081,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
88,5,"Madurai","Tamil Nadu","TN","Madurai",3191038,3676,823,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
89,29,"Pratapgarh","Uttar Pradesh","UP","Pratapgarh",3173752,3717,854,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
90,4,"Rajkot","Gujarat","GJ","Rajkot",3157676,11203,282,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
91,12,"Mumbai City","Maharashtra","MH","Mumbai",3145966,157,20036,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
92,5,"Banaskantha","Gujarat","GJ","Palanpur",3116045,6176,290,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
93,30,"Unnao","Uttar Pradesh","UP","Unnao",3110595,4561,682,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
94,4,"Thrissur","Kerala","KL","Thrissur",3110327,3027,1026,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
95,31,"Deoria","Uttar Pradesh","UP","Deoria",3098637,2535,1220,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
96,5,"Kozhikode","Kerala","KL","Kozhikode",3089543,2345,1318,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
97,14,"Katihar","Bihar","BR","Katihar",3068149,3056,1004,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
98,5,"Udaipur","Rajasthan","RJ","Udaipur",3067549,13430,242,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
99,15,"Bhagalpur","Bihar","BR","Bhagalpur",3032226,2569,1180,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
100,13,"Satara","Maharashtra","MH","Satara",3003922,10475,287,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
101,32,"Shahjahanpur","Uttar Pradesh","UP","Shahjahanpur",3002376,4575,673,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
102,15,"Uttar Dinajpur","West Bengal","WB","Raiganj",3000849,3180,956,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
103,3,"Mysore","Karnataka","KA","Mysore",2994744,6854,437,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
104,14,"Palghar","Maharashtra","MH","Palghar",2990116,5344,560,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
105,16,"Rohtas","Bihar","BR","Sasaram",2962593,3850,763,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
106,17,"Begusarai","Bihar","BR","Begusarai",2954367,1917,1540,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
107,16,"Purulia","West Bengal","WB","Purulia",2927965,6259,468,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
108,1,"Ranchi","Jharkhand","JH","Ranchi",2912022,5097,572,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
109,2,"Patiala","Punjab","PB","Patiala",2892282,3175,596,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
110,15,"Amravati","Maharashtra","MH","Amravati",2887826,12235,237,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
111,17,"Paschim Bardhaman","West Bengal","WB","Asansol",2882031,1603,1798,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
112,6,"Bhavnagar","Gujarat","GJ","Bhavnagar",2877961,11155,288,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
113,18,"Nalanda","Bihar","BR","Bihar Sharif",2872523,2354,1220,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
114,1,"Nagaon","Assam","AS","Nagaon",2826006,3831,738,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
115,18,"Cooch Behar","West Bengal","WB","Cooch Behar",2822780,3387,833,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
116,16,"Sangli","Maharashtra","MH","Sangli",2820575,8572,329,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
117,6,"Palakkad","Kerala","KL","Palakkad",2810892,4482,627,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
118,19,"Araria","Bihar","BR","Araria",2806200,2829,992,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
119,17,"Yavatmal","Maharashtra","MH","Yavatmal",2775457,13582,204,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
120,7,"Junagadh","Gujarat","GJ","Junagadh",2742291,8839,310,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
121,2,"South Delhi","Delhi","DL","Saket",2731929,250,11060,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
122,20,"Bhojpur","Bihar","BR","Arrah",2720155,2473,1136,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
123,6,"Tiruchirappalli","Tamil Nadu","TN","Tiruchirappalli",2713858,4407,602,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
124,2,"Dhanbad","Jharkhand","JH","Dhanbad",2682662,2040,1316,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
125,4,"Tumakuru","Karnataka","KA","Tumakuru",2681449,10598,253,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
126,6,"Sikar","Rajasthan","RJ","Sikar",2677737,7732,346,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
127,33,"Maharajganj","Uttar Pradesh","UP","Maharajganj",2665292,2953,903,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
128,18,"Raigad","Maharashtra","MH","Alibag",2635394,7152,368,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
129,34,"Fatehpur","Uttar Pradesh","UP","Fatehpur",2632684,4152,634,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
130,7,"Kollam","Kerala","KL","Kollam",2629703,2483,1056,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
131,2,"Cuttack","Odisha","OD","Cuttack",2618708,3932,666,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
132,7,"Barmer","Rajasthan","RJ","Barmer",2604453,28387,92,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
133,7,"Cuddalore","Tamil Nadu","TN","Cuddalore",2600880,3999,702,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
134,19,"Buldhana","Maharashtra","MH","Buldhana",2588039,9661,268,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
135,20,"Beed","Maharashtra","MH","Beed",2585962,10693,242,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
136,8,"Ajmer","Rajasthan","RJ","Ajmer",2584913,8481,305,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
137,5,"Kalaburagi","Karnataka","KA","Kalaburagi",2564892,10990,233,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
138,21,"Gopalganj","Bihar","BR","Gopalganj",2558037,2033,1258,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
139,8,"Chengalpattu","Tamil Nadu","TN","Chengalpattu",2556244,2945,868,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
140,35,"Siddharthnagar","Uttar Pradesh","UP","Naugarh",2553526,2751,882,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
141,2,"Ranga Reddy","Telangana","TG","Hyderabad",2551731,5031,486,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
142,36,"Amethi","Uttar Pradesh","UP","Gauriganj",2549935,3063,830,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
143,9,"Bharatpur","Rajasthan","RJ","Bharatpur",2549121,5066,503,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
144,3,"West Delhi","Delhi","DL","Rajouri Garden",2543243,112,19563,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
145,3,"Medchal–Malkajgiri","Telangana","TG","Shamirpet",2542203,5005,2251,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
146,37,"Mathura","Uttar Pradesh","UP","Mathura",2541894,3333,761,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
147,8,"Kannur","Kerala","KL","Kannur",2525637,2961,852,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
148,3,"Mayurbhanj","Odisha","OD","Baripada",2513895,10418,241,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
149,22,"Aurangabad","Bihar","BR","Aurangabad",2511243,3303,760,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
150,38,"Firozabad","Uttar Pradesh","UP","Firozabad",2496761,2361,1044,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
151,39,"Mirzapur","Uttar Pradesh","UP","Mirzapur",2494533,4522,561,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
152,3,"Amritsar","Punjab","PB","Amritsar",2490891,2673,932,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
153,9,"Tiruppur","Tamil Nadu","TN","Tiruppur",2471222,5106,476,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
154,1,"Nellore","Andhra Pradesh","AP","Nellore",2469700,10441,236,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
155,10,"Tiruvannamalai","Tamil Nadu","TN","Tiruvannaamalai",2468965,6191,399,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
156,40,"Ayodhya","Uttar Pradesh","UP","Ayodhya",2468371,2765,1054,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
157,41,"Basti","Uttar Pradesh","UP","Basti",2461056,2687,916,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
158,2,"Jabalpur","Madhya Pradesh","MP","Jabalpur",2460714,5210,472,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
159,21,"Latur","Maharashtra","MH","Latur",2455543,7157,343,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
160,3,"Giridih","Jharkhand","JH","Giridih",2445203,4887,497,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
161,8,"Sabarkantha","Gujarat","GJ","Himatnagar",2427346,7390,328,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
162,10,"Bhilwara","Rajasthan","RJ","Bhilwara",2410459,10455,230,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
163,11,"Thanjavur","Tamil Nadu","TN","Thanjavur",2402781,3397,691,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
