rank,state_rank,district,state,state_code,headquarters,population,area_sq_km,density_per_sq_km,population_year,source,source_url
656,14,"Bandipore","Jammu and Kashmir","JK","Bandipore",385099,3010,128,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
657,10,"Bilaspur","Himachal Pradesh","HP","Bilaspur",382056,1167,327,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
658,27,"Manendragarh-Chirmiri-Bharatpur","Chhattisgarh","CG","Manendragarh",381287,4227,90,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
659,2,"Dimapur","Nagaland","NL","Dimapur",379769,926,410,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
660,6,"Dhalai","Tripura","TR","Ambassa",377988,2400,157,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
661,55,"Pandhurna","Madhya Pradesh","MP","Pandhurna",374310,1522,246,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
662,28,"Khairagarh-Chhuikhadan-Gandai","Chhattisgarh","CG","Khairagarh",368444,1554,237,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
663,4,"Senapati","Manipur","MN","Senapati",354772,1573,116,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
664,1,"Dadra and Nagar Haveli","Dadra and Nagar Haveli and Daman and Diu","DD","Silvassa",343709,491,700,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
665,29,"Gaurela-Pendra-Marwahi","Chhattisgarh","CG","Gaurela",336420,2307,150,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
666,10,"Uttarkashi","Uttarakhand","UK","Uttarkashi",329686,7951,41,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
667,7,"Khowai","Tripura","TR","Khowai",327391,1005,326,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
668,10,"Shahdara","Delhi","DL","Nand Nagri",322931,60,59703,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
669,15,"Samba","Jammu and Kashmir","JK","Samba",318611,913,318,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
670,4,"East Garo Hills","Meghalaya","ML","Williamnagar",317618,2603,121,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
671,16,"Reasi","Jammu and Kashmir","JK","Reasi",314714,1710,184,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
672,30,"Debagarh","Odisha","OD","Debagarh",312164,2781,106,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
673,32,"West Karbi Anglong","Assam","AS","Hamren",300320,3035,99,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
