rank,city,state,population,population_year,source,source_url,scraped_at
159,Kirari Suleman Nagar,Delhi,283211,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
160,Purnia,Bihar,282248,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
161,Satna,Madhya Pradesh,280222,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
162,Maunath Bhanjan,Uttar Pradesh,278745,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
163,Barasat,West Bengal,278435,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
164,Sonipat,Haryana,278149,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
165,Farrukhabad,Uttar Pradesh,276581,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
166,Sagar,Madhya Pradesh,273296,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
167,Rourkela,Odisha,272721,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
168,Durg,Chhattisgarh,268806,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
169,Imphal,Manipur,268243,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
170,Ratlam,Madhya Pradesh,264914,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
171,Hapur,Uttar Pradesh,262983,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
172,Arrah,Bihar,261430,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
173,Karimnagar,Telangana,261185,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
174,Anantapur,Andhra Pradesh,261004,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
175,New Delhi,Delhi,257803,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
176,Etawah,Uttar Pradesh,256838,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
177,Ambarnath,Maharashtra,253475,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
178,Bharatpur,Rajasthan,252342,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
179,Begusarai,Bihar,252008,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
180,Tiruvottiyur,Tamil Nadu,249446,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
181,North Dumdum,West Bengal,249142,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
182,Gandhidham,Gujarat,247992,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
183,Baranagar,West Bengal,245213,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
184,Puducherry,Puducherry,244377,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
185,Thoothukudi,Tamil Nadu,237830,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
186,Sikar,Rajasthan,237532,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
187,Rewa,Madhya Pradesh,235654,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
188,Mirzapur,Uttar Pradesh,234871,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
189,Raichur,Karnataka,234073,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
190,Pali,Rajasthan,230075,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
191,Ramagundam,Telangana,229644,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
192,Haridwar,Uttarakhand,228832,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
193,Vijayanagaram,Andhra Pradesh,228025,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
194,Katihar,Bihar,226261,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
195,Nagercoil,Tamil Nadu,224849,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
196,Sri Ganganagar,Rajasthan,224532,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
197,Karawal Nagar,Delhi,224281,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
198,Mango,Jharkhand,223805,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
199,Thanjavur,Tamil Nadu,222943,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
200,Bulandshahr,Uttar Pradesh,222519,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
201,Uluberia,West Bengal,222240,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
202,Murwara,Madhya Pradesh,221883,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
203,Sambhal,Uttar Pradesh,220813,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
204,Singrauli,Madhya Pradesh,220257,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
205,Nadiad,Gujarat,218095,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
206,Secunderabad,Telangana,217910,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
207,Naihati,West Bengal,217900,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
208,Yamunanagar,Haryana,216677,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
209,Bidhan Nagar,West Bengal,215514,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
210,Pallavaram,Tamil Nadu,215417,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
211,Bidar,Karnataka,214373,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
212,Panchkula,Haryana,211355,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
213,Burhanpur,Madhya Pradesh,210886,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
214,Raurkela Industrial Township,Odisha,210317,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
215,Kharagpur,West Bengal,207604,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
216,Dindigul,Tamil Nadu,207327,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
217,Gandhinagar,Gujarat,206167,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
218,Hospet,Karnataka,206167,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
219,Nangloi Jat,Delhi,205596,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
220,Malda,West Bengal,205521,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
221,Ongole,Andhra Pradesh,204746,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
222,Eluru,Andhra Pradesh,203780,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
223,Deoghar,Jharkhand,203123,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
224,Chapra,Bihar,202352,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
225,Haldia,West Bengal,200827,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
226,Khandwa,Madhya Pradesh,200738,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
227,Puri,Odisha,200564,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
228,Nandyal,Andhra Pradesh,200516,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
229,Morena,Madhya Pradesh,200482,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
230,Amroha,Uttar Pradesh,198471,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
231,Anand,Gujarat,198282,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
232,Bhind,Madhya Pradesh,197585,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
233,Bhalswa Jahangir Pur,Delhi,197148,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
234,Madhyamgram,West Bengal,196127,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
235,Bhiwani,Haryana,196057,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
236,Panvel,Maharashtra,195373,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
237,Baharampur,West Bengal,195223,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
238,Ambala,Haryana,195153,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
239,Morvi,Gujarat,194947,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
240,Fatehpur,Uttar Pradesh,193193,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
241,Raebareli,Uttar Pradesh,191316,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
242,Khora,Uttar Pradesh,190005,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
243,Chittoor,Andhra Pradesh,189332,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
244,Bhusawal,Maharashtra,187421,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
245,Orai,Uttar Pradesh,187137,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
246,Bahraich,Uttar Pradesh,186223,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
247,Vellore,Tamil Nadu,185803,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
248,Veraval,Gujarat,185797,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
249,Mahesana,Gujarat,184991,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
250,Khammam,Telangana,184210,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
251,Sambalpur,Odisha,184000,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
252,Raiganj,West Bengal,183612,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
253,Sirsa,Haryana,182534,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
254,Danapur,Bihar,182429,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
255,Serampore,West Bengal,181842,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
256,Sultan Pur Majra,Delhi,181554,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
257,Guna,Madhya Pradesh,180935,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
258,Jaunpur,Uttar Pradesh,180362,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
259,Shivpuri,Madhya Pradesh,179977,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
260,Surendranagar Dudhrej,Gujarat,177851,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
261,Unnao,Uttar Pradesh,177658,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
262,Hugli-Chuchura,West Bengal,177259,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
263,Sitapur,Uttar Pradesh,177234,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
264,Hastsal,Delhi,176877,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
265,Tambaram,Tamil Nadu,174787,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
266,Adityapur,Jharkhand,174355,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
267,Badlapur,Maharashtra,174226,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
268,Alappuzha,Kerala,174176,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
269,Cuddalore,Tamil Nadu,173636,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
270,Silchar,Assam,172830,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
271,Gadag-Betageri,Karnataka,172612,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
272,Bahadurgarh,Haryana,170767,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
273,Machilipatnam,Andhra Pradesh,169892,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
274,Shimla,Himachal Pradesh,169578,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
275,Medinipur,West Bengal,169264,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
276,Deoli,Delhi,169122,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
277,Bharuch,Gujarat,169007,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
278,Hoshiarpur,Punjab,168653,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
279,Jind,Haryana,167592,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
280,Chandannagar,West Bengal,166867,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
281,Adoni,Andhra Pradesh,166344,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
282,Tonk,Rajasthan,165294,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
283,Faizabad,Uttar Pradesh,165228,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
284,Tenali,Andhra Pradesh,164937,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
285,Alandur,Tamil Nadu,164430,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
286,Kancheepuram,Tamil Nadu,164384,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
287,Vapi,Gujarat,163630,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
288,Rajnandgaon,Chhattisgarh,163114,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
289,Proddatur,Andhra Pradesh,162717,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
290,Navsari,Gujarat,160941,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
291,Budaun,Uttar Pradesh,159285,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
292,Uttarpara Kotrung,West Bengal,159147,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
293,Mahbubnagar,Andhra Pradesh,157733,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
294,Erode,Tamil Nadu,157101,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
295,Batala,Punjab,156619,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
296,Saharsa,Bihar,156540,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
297,Haldwani-Kathgodam,Uttarakhand,156078,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
298,Vidisha,Madhya Pradesh,155951,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
299,Thanesar,Haryana,155152,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
300,Kishangarh,Rajasthan,154886,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
301,Hindupur,Andhra Pradesh,151835,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
302,Sasaram,Bihar,147396,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
303,Hajipur,Bihar,147126,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
304,Beed,Maharashtra,146709,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
305,Bhimavaram,Andhra Pradesh,142280,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
306,Dehri,Bihar,137068,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
307,Madanapalle,Andhra Pradesh,135669,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
308,Siwan,Bihar,134458,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
309,Bettiah,Bihar,132896,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
310,Gondia,Maharashtra,132813,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
311,Guntakal,Andhra Pradesh,126270,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
312,Srikakulam,Andhra Pradesh,125939,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
313,Motihari,Bihar,125183,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
314,Dharmavaram,Andhra Pradesh,121874,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
315,Satara,Maharashtra,120195,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
316,Barshi,Maharashtra,118722,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
317,Gudivada,Andhra Pradesh,118167,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
318,Yavatmal,Maharashtra,116551,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
319,Narasaraopet,Andhra Pradesh,116250,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
320,Bagaha,Bihar,113012,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
321,Achalpur,Maharashtra,112311,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
322,Osmanabad,Maharashtra,111825,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
